Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Expansion of Machine Translation Bilingual Dictionaries by Using Existing Dictionaries and Thesauruses","Computer Processing of Oriental Languages. Beyond the Orient: The Research Challenges Ahead","","","","10.1007/11940098_35","Takeshi KutsumiTakehiko YoshimiKatsunori KotaniIchiko SataHitoshi Isahara","2006","http://link.springer.com/chapter/10.1007/11940098_35","Chapter"
"Merging Example-Based and Statistical Machine Translation: An Experiment","Machine Translation: From Research to Real Users","","","","10.1007/3-540-45820-4_11","Philippe LanglaisMichel Simard","2002","http://link.springer.com/chapter/10.1007/3-540-45820-4_11","Chapter"
"Analysis of Sign Languages: A Step Towards Multi-lingual Machine Translation for Sign Languages","Perspectives of System Informatics","","","","10.1007/3-540-46562-6_48","Susantha HerathChie SaitoAjantha Herath","2000","http://link.springer.com/chapter/10.1007/3-540-46562-6_48","Chapter"
"Automatic Filtering of Bilingual Corpora for Statistical Machine Translation","Natural Language Processing and Information Systems","","","","10.1007/11428817_24","Shahram KhadiviHermann Ney","2005","http://link.springer.com/chapter/10.1007/11428817_24","Chapter"
"Morphological Rules of Bangla Repetitive Words for UNL Based Machine Translation","Advances in Swarm and Computational Intelligence","","","","10.1007/978-3-319-20469-7_43","Md. Nawab Yousuf AliGolam SorwarAshok ToruMd. Anik IslamMd. Shamsujjoha","2015","http://link.springer.com/chapter/10.1007/978-3-319-20469-7_43","Chapter"
"Example-Based Machine Translation Without Saying Inferable Predicate","Natural Language Processing – IJCNLP 2004","","","","10.1007/978-3-540-30211-7_22","Eiji AramakiSadao KurohashiHideki KashiokaHideki Tanaka","2005","http://link.springer.com/chapter/10.1007/978-3-540-30211-7_22","Chapter"
"Experimenting Statistical Machine Translation for Ethiopic Semitic Languages: The Case of Amharic-Tigrigna","Information and Communication Technology for Development for Africa","","","","10.1007/978-3-319-95153-9_13","Michael Melese WoldeyohannisMillion Meshesha","2018","http://link.springer.com/chapter/10.1007/978-3-319-95153-9_13","Chapter"
"Machine Translation among Languages with Transitivity Divergences Using the Causal Relation in the Interlingual Lexicon","Machine Translation and the Information Soup","","","","10.1007/3-540-49478-2_41","Yukiko Sasaki Alam","1998","http://link.springer.com/chapter/10.1007/3-540-49478-2_41","Chapter"
"NICT’s Machine Translation Systems for CCMT-2019 Translation Task","Machine Translation","","","","10.1007/978-981-15-1721-1_8","Kehai ChenRui WangMasao UtiyamaEiichiro Sumita","2019","http://link.springer.com/chapter/10.1007/978-981-15-1721-1_8","Chapter"
"On the Automatic Learning of Bilingual Resources: Some Relevant Factors for Machine Translation","Advances in Artificial Intelligence - SBIA 2008","","","","10.1007/978-3-540-88190-2_31","Helena de M. CaseliMaria das Graças V. NunesMikel L. Forcada","2008","http://link.springer.com/chapter/10.1007/978-3-540-88190-2_31","Chapter"
"Analysis of Back-Translation Methods for Low-Resource Neural Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-030-32236-6_42","Nuo XuYinqiao LiChen XuYanyang LiBei LiTong XiaoJingbo Zhu","2019","http://link.springer.com/chapter/10.1007/978-3-030-32236-6_42","Chapter"
"Towards an Efficient Evolutionary Decoding Algorithm for Statistical Machine Translation","MICAI 2004: Advances in Artificial Intelligence","","","","10.1007/978-3-540-24694-7_45","Eridan OttoMaría Cristina Riff","2004","http://link.springer.com/chapter/10.1007/978-3-540-24694-7_45","Chapter"
"Statistical Feature Aided Intelligent Deep Learning Machine Translation in Internet of Things","IoT as a Service","","","","10.1007/978-3-030-67514-1_20","Yidian ZhangLin ZhangPing LanWenyong LiDan YangZhiqiang Wu","2021","http://link.springer.com/chapter/10.1007/978-3-030-67514-1_20","Chapter"
"Exploiting Knowledge Graph in Neural Machine Translation","Machine Translation","","","","10.1007/978-981-13-3083-4_3","Yu LuJiajun ZhangChengqing Zong","2019","http://link.springer.com/chapter/10.1007/978-981-13-3083-4_3","Chapter"
"Phrase-Based Alignment Models for Statistical Machine Translation","Pattern Recognition and Image Analysis","","","","10.1007/11492542_74","Jesús TomásJaime LloretFrancisco Casacuberta","2005","http://link.springer.com/chapter/10.1007/11492542_74","Chapter"
"Learning Bilingual Sentence Representations for Quality Estimation of Machine Translation","Machine Translation","","","","10.1007/978-981-10-3635-4_4","Junguo ZhuMuyun YangSheng LiTiejun Zhao","2016","http://link.springer.com/chapter/10.1007/978-981-10-3635-4_4","Chapter"
"Dictionaries for English-Vietnamese Machine Translation","Computer Processing of Oriental Languages. Beyond the Orient: The Research Challenges Ahead","","","","10.1007/11940098_37","Le Manh HaiNguyen Chanh ThanhNguyen Chi HieuPhan Thi Tuoi","2006","http://link.springer.com/chapter/10.1007/11940098_37","Chapter"
"Special issue on Machine Translation for Arabic: Preface","Machine Translation","","26","1 - 2","10.1007/s10590-011-9118-5","Nizar HabashHany Hassan","2012","http://link.springer.com/article/10.1007/s10590-011-9118-5","Article"
"Neural Machine Translation with Soft Reordering Knowledge","Neural Information Processing","","","","10.1007/978-3-030-63820-7_79","Leiying ZhouJie ZhouWenjie LuKui MengGongshen Liu","2020","http://link.springer.com/chapter/10.1007/978-3-030-63820-7_79","Chapter"
"The Performance of a Machine Translation-Based English-Indonesian CLIR System","Accessing Multilingual Information Repositories","","","","10.1007/11878773_16","Mirna AdrianiIhsan Wahyu","2006","http://link.springer.com/chapter/10.1007/11878773_16","Chapter"
"Introduction: Special Issue on Anaphora Resolution in Machine Translation and Multilingual NLP","Machine Translation","","14","3 - 4","10.1023/A:1011132522992","Ruslan Mitkov","1999","http://link.springer.com/article/10.1023/A%3A1011132522992","Article"
"Word-Level Error Correction in Non-autoregressive Neural Machine Translation","Neural Information Processing","","","","10.1007/978-3-030-63820-7_83","Ziyue GuoHongxu HouNier WuShuo Sun","2020","http://link.springer.com/chapter/10.1007/978-3-030-63820-7_83","Chapter"
"Towards Building a Strong Transformer Neural Machine Translation System","Machine Translation","","","","10.1007/978-981-13-3083-4_10","Qiang WangBei LiJiqiang LiuBojian JiangZheyang ZhangYinqiao LiYe LinTong XiaoJingbo Zhu","2019","http://link.springer.com/chapter/10.1007/978-981-13-3083-4_10","Chapter"
"An Open and Extensible Platform  for Machine Translation of Spoken   Languages into Sign Languages","Applications and Usability of Interactive Television","","","","10.1007/978-3-319-90170-1_12","Rostand CostaTiago MaritanRenan SoaresVinicius VeríssimoSuanny VieiraAlexandre SantosManuella AschoffGuido Lemos","2018","http://link.springer.com/chapter/10.1007/978-3-319-90170-1_12","Chapter"
"Phrase-Based Statistical Machine Translation Using Approximate Matching","Pattern Recognition and Image Analysis","","","","10.1007/978-3-540-72847-4_61","Jesús TomásJaime LloretFrancisco Casacuberta","2007","http://link.springer.com/chapter/10.1007/978-3-540-72847-4_61","Chapter"
"Neural Machine Translation by Generating Multiple Linguistic Factors","Statistical Language and Speech Processing","","","","10.1007/978-3-319-68456-7_2","Mercedes García-MartínezLoïc BarraultFethi Bougares","2017","http://link.springer.com/chapter/10.1007/978-3-319-68456-7_2","Chapter"
"Cross-Language Ontology Alignment Utilizing Machine Translation Models","Metadata and Semantics Research","","","","10.1007/978-3-319-03437-9_9","Antonis KoukourikosPythagoras KarampiperisGiannis Stoitsis","2013","http://link.springer.com/chapter/10.1007/978-3-319-03437-9_9","Chapter"
"Combination Methods for Improving the Reliability of Machine Translation Based Cross-Language Information Retrieval","Artificial Intelligence and Cognitive Science","","","","10.1007/3-540-45750-X_25","Gareth J. F. JonesAdenike M. Lam-Adesina","2002","http://link.springer.com/chapter/10.1007/3-540-45750-X_25","Chapter"
"An Open Machine Translation System for Augmentative and Alternative Communication","Computers Helping People with Special Needs","","","","10.1007/3-540-45491-8_135","Constantinos ViglasGeorgios Kouroupetroglou","2002","http://link.springer.com/chapter/10.1007/3-540-45491-8_135","Chapter"
"Current research in Machine Translation: A reply to Somers","Machine Translation","","7","4","10.1007/BF00398471","Pierre Isabelle","1992","http://link.springer.com/article/10.1007/BF00398471","Article"
"A Dependency-Inspired Semantic Evaluation of Machine Translation Systems","Information Access Evaluation. Multilinguality, Multimodality, and Visualization","","","","10.1007/978-3-642-40802-1_8","Mohammad Reza MirsarrafNazanin Dehghani","2013","http://link.springer.com/chapter/10.1007/978-3-642-40802-1_8","Chapter"
"Document-Level Machine Translation Evaluation Metrics Enhanced with Simplified Lexical Chain","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-319-25207-0_35","Zhengxian GongGuodong Zhou","2015","http://link.springer.com/chapter/10.1007/978-3-319-25207-0_35","Chapter"
"Time-Constrained Machine Translation","Machine Translation and the Information Soup","","","","10.1007/3-540-49478-2_10","Janine TooleDavide TurcatoFred PopowichDan FassPaul McFetridge","1998","http://link.springer.com/chapter/10.1007/3-540-49478-2_10","Chapter"
"A POS-Based Preordering Approach for English-to-Arabic Statistical Machine Translation","Arabic Language Processing: From Theory to Practice","","","","10.1007/978-3-319-73500-9_3","Mohamed Seghir Hadj AmeurAhmed GuessoumFarid Meziane","2018","http://link.springer.com/chapter/10.1007/978-3-319-73500-9_3","Chapter"
"Learning Rules to Improve a Machine Translation System","Machine Learning: ECML 2003","","","","10.1007/978-3-540-39857-8_20","David KauchakCharles Elkan","2003","http://link.springer.com/chapter/10.1007/978-3-540-39857-8_20","Chapter"
"An Improved Method of Applying a Machine Translation Model to a Chinese Word Segmentation Task","Artificial Neural Networks and Machine Learning – ICANN 2019: Text and Time Series","","","","10.1007/978-3-030-30490-4_5","Yuekun WeiBinbin QuNan HuLiu Han","2019","http://link.springer.com/chapter/10.1007/978-3-030-30490-4_5","Chapter"
"Medical Data Machine Translation Evaluation Based on Dependency N-Grams","Smart Health","","","","10.1007/978-3-319-59858-1_17","Ying QinYe Liang","2017","http://link.springer.com/chapter/10.1007/978-3-319-59858-1_17","Chapter"
"Context Sensitive Word Deletion Model for Statistical Machine Translation","Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data","","","","10.1007/978-3-319-69005-6_7","Qiang LiYaqian HanTong XiaoJingbo Zhu","2017","http://link.springer.com/chapter/10.1007/978-3-319-69005-6_7","Chapter"
"Applying Link Grammar Formalism in the Development of English-Indonesian Machine Translation System","Intelligent Computer Mathematics","","","","10.1007/978-3-540-85110-3_3","Teguh Bharata AdjiBaharum BaharudinNorshuhani Zamin","2008","http://link.springer.com/chapter/10.1007/978-3-540-85110-3_3","Chapter"
"Lost in Translation: Viability of Machine Translation for Cross Language Sentiment Analysis","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-642-37256-8_4","Balamurali A.R.Mitesh M. KhapraPushpak Bhattacharyya","2013","http://link.springer.com/chapter/10.1007/978-3-642-37256-8_4","Chapter"
"Modeling Indicative Context for Statistical Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-319-73618-1_19","Shuangzhi WuDongdong ZhangShujie LiuMing Zhou","2018","http://link.springer.com/chapter/10.1007/978-3-319-73618-1_19","Chapter"
"Stylistics and computing: Machine translation as a tool for a new approach to stylistics","Computers and translation","","1","4","10.1007/BF00936421","Anne-Marie Laurian","1986","http://link.springer.com/article/10.1007/BF00936421","Article"
"Parallel Corpora for WordNet Construction: Machine Translation vs. Automatic Sense Tagging","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-642-28601-8_10","Antoni OliverSalvador Climent","2012","http://link.springer.com/chapter/10.1007/978-3-642-28601-8_10","Chapter"
"Evaluation of Neural Machine Translation for Highly Inflected and Small Languages","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-77116-8_33","Mārcis PinnisRihards KrišlauksDaiga DeksneToms Miks","2018","http://link.springer.com/chapter/10.1007/978-3-319-77116-8_33","Chapter"
"Controlling Formality and Style of Machine Translation Output Using AutoML","Information Management and Big Data","","","","10.1007/978-3-030-46140-9_29","Aditi ViswanathanVarden WangAntonina Kononova","2020","http://link.springer.com/chapter/10.1007/978-3-030-46140-9_29","Chapter"
"Paraphrase Detection Using Machine Translation and Textual Similarity Algorithms","Artificial Intelligence and Natural Language","","","","10.1007/978-3-319-71746-3_22","Dmitry Kravchenko","2018","http://link.springer.com/chapter/10.1007/978-3-319-71746-3_22","Chapter"
"Joseph Olive, Caitlin Christianson, John McCary (eds.): Handbook of Natural Language Processing and Machine Translation","Machine Translation","","27","1","10.1007/s10590-012-9128-y","Kimmo Rossi","2013","http://link.springer.com/article/10.1007/s10590-012-9128-y","Article"
"Phrase Chunking for Efficient Parsing in Machine Translation System","MICAI 2004: Advances in Artificial Intelligence","","","","10.1007/978-3-540-24694-7_49","Jaehyung Yang","2004","http://link.springer.com/chapter/10.1007/978-3-540-24694-7_49","Chapter"
"Bayes Decision Rules and Confidence Measures for Statistical Machine Translation","Advances in Natural Language Processing","","","","10.1007/978-3-540-30228-5_7","Nicola UeffingHermann Ney","2004","http://link.springer.com/chapter/10.1007/978-3-540-30228-5_7","Chapter"
"Chan Sin-Wai (ed): The human factor in machine translation","Machine Translation","","33","3","10.1007/s10590-019-09240-x","Sheila Castilho","2019","http://link.springer.com/article/10.1007/s10590-019-09240-x","Article"
"Producers-users-customers: Towards a differentiated evaluation of research in Machine Translation","Machine Translation","","7","4","10.1007/BF00398473","Erich Steiner","1992","http://link.springer.com/article/10.1007/BF00398473","Article"
